Id,String
,
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Warrior,Warrior
Thief,Thief
Tanker,Tanker
WarriorDesc,Normal Warrior
ThiefDesc,High Attack Thief
TankerDesc,High defense tanker
Attack,Attack
Deffense,Deffense
NAME, Name
DESC, Description
TYPE, Type
VALUE, Value
COST, Cost
FILTER_NONE, None
WEAPON, Weapon
EQUIP, Equipment
CONSUMABLE, Consumable
SORT_TIME_ASC, Date(Ascending)
SORT_TIME_DESC, Date(Descending)
SORT_NAME_ASC, Name(Ascending)
SORT_NAME_DESC, Name(Descending)
SORT_COST_ASC, Price(Ascending)
SORT_COST_DESC, Price(Descending)
FILTER_NOT_CONSUMABLE, Non-Consumable
LOAD, Load
SAVE, Save
CREATE, Create
DELETE, Delete
EMPTY_SLOT, Empty
