Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたはしぬ
Item1Name,けん
Item2Name,たて
Item3Name,ゆみ
Item4Name,ポーション
Item1Desc,これはけんだ。
Item2Desc,これはたてだ。
Item3Desc,これはゆみだ。
Item4Desc,これはポーションだ。
Warrior,せんし
Thief,とうぞく
Tanker,タンカー
WarriorDesc,せんしです
ThiefDesc,とうぞくです
TankerDesc,タンカーです
Attack,こうげき
Deffense,ぼうえい
NAME, なまえ
DESC, せつめい
TYPE, タイプ
VALUE, かち
COST, コスト
FILTER_NONE, なし
WEAPON, ぶき
EQUIP, そうび
CONSUMABLE, しょうもうひん
SORT_TIME_ASC, ひづけ(しょうじゅん)
SORT_TIME_DESC, ひづけ(こうじゅん)
SORT_NAME_ASC, なまえ(しょうじゅん)
SORT_NAME_DESC, なまえ(こうじゅん)
SORT_COST_ASC, かかく(しょうじゅん)
SORT_COST_DESC, かかく(こうじゅん)
FILTER_NOT_CONSUMABLE, ひしょうもうひん
LOAD, よみこむ
SAVE, ほぞん
CREATE, さくせい
DELETE, さくじょ
EMPTY_SLOT, あきスロット
